odor,mouse_id,bootstrap,MI_noisy,MI_denoised
2 Methyl Butyraldehyde,1,5,1.24175,2.40520
2 Methyl Butyraldehyde,1,6,1.23522,2.50470
2 Methyl Butyraldehyde,1,7,1.22817,2.42584
2 Methyl Butyraldehyde,1,8,1.14909,2.41204
2 Methyl Butyraldehyde,1,9,1.12748,2.42430
2 Methyl Butyraldehyde,1,10,1.23516,2.51955
2 Methyl Butyraldehyde,1,11,1.14493,2.46694
2 Methyl Butyraldehyde,1,12,1.29359,2.41045
2 Methyl Butyraldehyde,1,13,1.19440,2.43111
2 Methyl Butyraldehyde,1,14,1.16621,2.45980
m Anisaldehyde,0,0,0.83514,2.47643
m Anisaldehyde,0,1,0.85106,2.45613
m Anisaldehyde,0,2,0.91436,2.40719
m Anisaldehyde,0,3,0.80957,2.52532
m Anisaldehyde,0,4,0.93145,2.49573
m Anisaldehyde,0,5,0.94443,2.49811
m Anisaldehyde,0,6,0.96500,2.53719
m Anisaldehyde,0,7,0.98615,2.53123
m Anisaldehyde,0,8,0.83018,2.43772
m Anisaldehyde,0,9,0.96907,2.39150
m Anisaldehyde,0,10,0.87812,2.47354
m Anisaldehyde,0,11,0.88045,2.44689
m Anisaldehyde,0,12,0.97292,2.53571
m Anisaldehyde,0,13,0.88234,2.48372
m Anisaldehyde,0,14,1.02287,2.61668
m Anisaldehyde,1,0,0.87054,2.49389
m Anisaldehyde,1,1,1.10301,2.57347
m Anisaldehyde,1,2,1.00912,2.60143
m Anisaldehyde,1,3,0.93696,2.56345
m Anisaldehyde,1,4,0.92322,2.47376
m Anisaldehyde,1,5,0.86253,2.53569
m Anisaldehyde,1,6,0.83779,2.52132
m Anisaldehyde,1,7,1.08506,2.55493
m Anisaldehyde,1,8,1.11342,2.52897
m Anisaldehyde,1,9,1.03948,2.54494
m Anisaldehyde,1,10,0.96019,2.53365
m Anisaldehyde,1,11,1.10601,2.51348
m Anisaldehyde,1,12,0.88004,2.51937
m Anisaldehyde,1,13,1.09803,2.52616
m Anisaldehyde,1,14,0.92228,2.55613
