epoch,odor_id,odor_name,mouse_id,trial,R_local
0,8,2 Methyl Butyraldehyde,1,5,0.2653788152636042
0,8,2 Methyl Butyraldehyde,1,6,0.17638963964897209
0,8,2 Methyl Butyraldehyde,1,7,0.283270618390267
0,8,2 Methyl Butyraldehyde,1,8,0.26434989265651426
0,8,2 Methyl Butyraldehyde,1,9,0.20175585175136065
0,8,2 Methyl Butyraldehyde,1,10,0.2273120868299418
0,8,2 Methyl Butyraldehyde,1,11,0.25672176730220053
0,8,2 Methyl Butyraldehyde,1,12,0.24827175106218952
0,8,2 Methyl Butyraldehyde,1,13,0.23448623169579758
0,8,2 Methyl Butyraldehyde,1,14,0.24203354840530134
0,9,m Anisaldehyde,0,0,0.24200717751736806
0,9,m Anisaldehyde,0,1,0.2581887731297422
0,9,m Anisaldehyde,0,2,0.31094595156536975
0,9,m Anisaldehyde,0,3,0.14941993500839157
0,9,m Anisaldehyde,0,4,0.2426122620652561
0,9,m Anisaldehyde,0,5,0.2591467695005414
0,9,m Anisaldehyde,0,6,0.26392603223312744
0,9,m Anisaldehyde,0,7,0.23720968939279188
0,9,m Anisaldehyde,0,8,0.18181740134650018
0,9,m Anisaldehyde,0,9,0.26520609199420786
0,9,m Anisaldehyde,0,10,0.32118028121221087
0,9,m Anisaldehyde,0,11,0.19073181644899798
0,9,m Anisaldehyde,0,12,0.286639393193571
0,9,m Anisaldehyde,0,13,0.23894526372072772
0,9,m Anisaldehyde,0,14,0.24963329881248958
0,9,m Anisaldehyde,1,0,0.17516201875912163
0,9,m Anisaldehyde,1,1,0.20389971229304454
0,9,m Anisaldehyde,1,2,0.26927974297523793
0,9,m Anisaldehyde,1,3,0.24058416886678788
0,9,m Anisaldehyde,1,4,0.2865704234036774
0,9,m Anisaldehyde,1,5,0.26437443474638733
0,9,m Anisaldehyde,1,6,0.23484142634446264
0,9,m Anisaldehyde,1,7,0.2870353402339913
0,9,m Anisaldehyde,1,8,0.23483768553681156
0,9,m Anisaldehyde,1,9,0.25039748625916197
0,9,m Anisaldehyde,1,10,0.20541512104589127
0,9,m Anisaldehyde,1,11,0.2199397918216478
0,9,m Anisaldehyde,1,12,0.18938100625526855
0,9,m Anisaldehyde,1,13,0.25686131657107375
0,9,m Anisaldehyde,1,14,0.170145814262685
2,0,"2,3 Pentanedione",0,0,0.3095787388876196
2,0,"2,3 Pentanedione",0,1,0.2706586828907068
2,0,"2,3 Pentanedione",0,2,0.32513460892960594
2,0,"2,3 Pentanedione",0,3,0.3083194847401636
2,0,"2,3 Pentanedione",0,4,0.35111057149678526
2,0,"2,3 Pentanedione",0,5,0.30751571283645895
2,0,"2,3 Pentanedione",0,6,0.21540311496478354
2,0,"2,3 Pentanedione",0,7,0.2756065982749851
2,0,"2,3 Pentanedione",0,8,0.23140443748712053
2,0,"2,3 Pentanedione",0,9,0.2575535314962622
2,0,"2,3 Pentanedione",0,10,0.33873386252198207
2,0,"2,3 Pentanedione",0,11,0.303786077626821
2,0,"2,3 Pentanedione",0,12,0.2503275080477633
2,0,"2,3 Pentanedione",0,13,0.23773603053329723
2,0,"2,3 Pentanedione",0,14,0.2795960089059636
2,0,"2,3 Pentanedione",1,0,0.22030604065567783
2,0,"2,3 Pentanedione",1,1,0.2421228355350597
2,0,"2,3 Pentanedione",1,2,0.2814488254929727
2,0,"2,3 Pentanedione",1,3,0.3151809280751908
2,0,"2,3 Pentanedione",1,4,0.29331890551990053
2,0,"2,3 Pentanedione",1,5,0.17731686628699894
2,0,"2,3 Pentanedione",1,6,0.28114311579213336
2,0,"2,3 Pentanedione",1,7,0.27184978956022604
2,0,"2,3 Pentanedione",1,8,0.2855240580458307
2,0,"2,3 Pentanedione",1,9,0.3336168338969712
2,0,"2,3 Pentanedione",1,10,0.1864389155587332
2,0,"2,3 Pentanedione",1,11,0.24532430962327872
2,0,"2,3 Pentanedione",1,12,0.2926046995426571
2,0,"2,3 Pentanedione",1,13,0.20570467065276526
2,0,"2,3 Pentanedione",1,14,0.3280064085530633
2,1,3 Methylvaleric Acid,0,0,0.29124680146707516
2,1,3 Methylvaleric Acid,0,1,0.310375896392785
2,1,3 Methylvaleric Acid,0,2,0.25367479049817704
2,1,3 Methylvaleric Acid,0,3,0.30906308455769727
2,1,3 Methylvaleric Acid,0,4,0.31925139919861034
2,1,3 Methylvaleric Acid,0,5,0.28582765776453556
2,1,3 Methylvaleric Acid,0,6,0.2858885726669967
