epoch,odor_id,odor_name,mouse_id,trial,R_global
0,8,2 Methyl Butyraldehyde,0,3,0.14447897357527256
0,8,2 Methyl Butyraldehyde,0,4,0.16408348481707888
0,8,2 Methyl Butyraldehyde,0,5,0.17441542592841502
0,8,2 Methyl Butyraldehyde,0,6,0.15804845412614807
0,8,2 Methyl Butyraldehyde,0,7,0.16179665246037592
0,8,2 Methyl Butyraldehyde,0,8,0.1560958800829564
0,8,2 Methyl Butyraldehyde,0,9,0.15508267058347414
0,8,2 Methyl Butyraldehyde,0,10,0.14130536114989486
0,8,2 Methyl Butyraldehyde,0,11,0.16112344161688272
0,8,2 Methyl Butyraldehyde,0,12,0.15322370244315253
0,8,2 Methyl Butyraldehyde,0,13,0.19504299402712227
0,8,2 Methyl Butyraldehyde,0,14,0.18511892376165837
0,8,2 Methyl Butyraldehyde,1,0,0.15011983512956303
0,8,2 Methyl Butyraldehyde,1,1,0.12818542265915905
0,8,2 Methyl Butyraldehyde,1,2,0.12151569039862786
0,8,2 Methyl Butyraldehyde,1,3,0.16549423287337112
0,8,2 Methyl Butyraldehyde,1,4,0.1477697100432716
0,8,2 Methyl Butyraldehyde,1,5,0.1519201130021192
0,8,2 Methyl Butyraldehyde,1,6,0.10944646665623697
0,8,2 Methyl Butyraldehyde,1,7,0.16045969226266774
0,8,2 Methyl Butyraldehyde,1,8,0.15142901849956897
0,8,2 Methyl Butyraldehyde,1,9,0.12155350680499792
0,8,2 Methyl Butyraldehyde,1,10,0.13375124302586708
0,8,2 Methyl Butyraldehyde,1,11,0.1477881903163275
0,8,2 Methyl Butyraldehyde,1,12,0.14375508180715982
0,8,2 Methyl Butyraldehyde,1,13,0.13717539084791278
0,8,2 Methyl Butyraldehyde,1,14,0.1407776498706059
0,9,m Anisaldehyde,0,0,0.10939530779253234
0,9,m Anisaldehyde,0,1,0.11323385077380885
0,9,m Anisaldehyde,0,2,0.12574872890122724
0,9,m Anisaldehyde,0,3,0.08743207756468005
0,9,m Anisaldehyde,0,4,0.1095388438874894
0,9,m Anisaldehyde,0,5,0.11346110340904388
0,9,m Anisaldehyde,0,6,0.11459482383175768
0,9,m Anisaldehyde,0,7,0.10825726400442365
0,9,m Anisaldehyde,0,8,0.0951172941528508
0,9,m Anisaldehyde,0,9,0.11489847524718128
0,9,m Anisaldehyde,0,10,0.12817648171219914
0,9,m Anisaldehyde,0,11,0.09723194133249675
